transaction_id,date,amount,currency,card_type,merchant_id,status,fee
TXN001,2026-01-15,150.00,USD,Visa,MERCH001,completed,4.50
TXN002,2026-01-15,2300.00,USD,Mastercard,MERCH002,completed,69.00
TXN003,2026-01-16,45.99,USD,Amex,MERCH001,completed,2.30
TXN004,2026-01-16,678.50,USD,Visa,MERCH003,completed,20.36
TXN005,2026-01-17,1200.00,USD,Mastercard,MERCH001,completed,36.00
TXN006,2026-01-17,89.99,USD,Visa,MERCH002,completed,2.70
TXN007,2026-01-18,4500.00,USD,Amex,MERCH003,completed,225.00
TXN008,2026-01-18,299.99,USD,Mastercard,MERCH001,completed,9.00
TXN009,2026-01-19,75.00,USD,Visa,MERCH002,completed,2.25
TXN010,2026-01-19,1800.00,USD,Amex,MERCH003,completed,90.00
TXN011,2026-01-20,550.00,USD,Mastercard,MERCH001,completed,16.50
TXN012,2026-01-20,34.50,USD,Visa,MERCH002,completed,1.04
TXN013,2026-01-21,9200.00,USD,Visa,MERCH003,completed,276.00
TXN014,2026-01-21,125.00,USD,Mastercard,MERCH001,completed,3.75
TXN015,2026-01-22,780.00,USD,Amex,MERCH002,completed,39.00
